NR_155862.1	28987
NR_145409.1	65420
NR_172389.1	42327
NR_111889.1	5127
NR_120297.1	51453
NR_120298.1	5548
NR_120296.1	317029
NR_138456.1	97093
NR_134448.1	40695
NR_103704.1	5549
NR_111885.1	44412
NR_152941.1	42671
NR_130698.1	42673
NR_137162.1	47755
NR_149349.1	42672
NR_152942.1	79018
NR_182424.1	42677
NR_163683.1	56676
NR_120294.1	1580851
NR_120295.1	1580846
NR_156189.1	64362
NR_152943.1	56665
NR_119487.1	310453
NR_144883.1	34393
NR_144885.1	74034
NR_131265.1	63405
NR_103572.1	74035
NR_131266.1	63401
NR_144882.1	1916091
NR_077138.1	74036
NR_111031.1	74838
NR_119422.1	74845
NR_138272.1	27291
NR_138187.1	27294
NR_202124.1	3680292
NR_138188.1	4957
NR_111886.1	48491
NR_111887.1	48493
NR_111888.1	48496
NR_145263.1	51568
NR_145262.1	51572
NR_137165.1	51571
NR_145265.1	51575
NR_145261.1	51646
NR_137164.1	51578
NR_154742.1	51579
NR_145264.1	51581
NR_145260.1	51567
NR_137163.1	51570
NR_138156.1	51656
NR_138157.1	51658
NR_138158.1	488016
NR_111006.1	74404
NR_154751.1	72986
NR_138271.1	74831
NR_103705.1	63400
NR_103706.1	63406
NR_144903.1	63419
NR_131330.1	5551
NR_138183.1	37662
NR_145338.1	91943
NR_111271.1	161657
NR_111273.1	470181
NR_137142.1	92988
NR_111222.1	92950
NR_144904.1	93490
NR_145339.1	64485
NR_145343.1	93489
NR_155043.1	93491
NR_145340.1	93472
NR_147320.1	1836197
NR_145341.1	71661
NR_145342.1	93473
NR_111041.1	5059
NR_134340.1	1383385
NR_111042.1	5412
NR_111043.1	264483
NR_111007.1	4932
NR_137138.1	101852
NR_153447.1	42465
NR_155359.1	105765
NR_111044.1	29902
NR_163504.1	105766
NR_077133.1	79084
NR_077134.1	79085
NR_119427.1	112489
NR_119428.1	112483
NR_111011.1	57472
NR_111012.1	57473
NR_111013.1	118573
NR_111014.1	118574
NR_167939.1	118575
NR_137141.1	89418
NR_145208.1	89420
NR_190910.1	1859096
NR_145330.1	58919
NR_144762.1	88839
NR_154746.1	122410
NR_137651.1	122659
NR_137652.1	122656
NR_131268.1	34381
NR_172030.1	1232676
NR_111094.1	40993
NR_144763.1	181174
NR_111009.1	67620
NR_111015.1	118975
NR_145210.1	108929
NR_119467.1	78604
NR_159740.1	147832
NR_145203.1	78598
NR_145204.1	85843
NR_145206.1	85845
NR_145207.1	85847
NR_111087.1	85844
NR_103573.1	113406
NR_153508.1	113404
NR_111089.1	113407
NR_111091.1	113411
NR_111093.1	113402
NR_103574.1	78592
NR_111090.1	113410
NR_111092.1	33188
NR_103575.1	2609790
NR_145140.1	2587400
NR_111101.1	132583
NR_111100.1	132577
NR_111102.1	468837
NR_111103.1	132578
NR_111096.1	2231603
NR_111099.1	132114
NR_111097.1	132115
NR_111098.1	93593
NR_154139.1	132136
NR_154140.1	132148
NR_154141.1	132118
NR_154142.1	73578
NR_155044.1	93589
NR_155045.1	132142
NR_137654.1	132149
NR_155046.1	132143
NR_144764.1	69977
NR_144765.1	69981
NR_167940.1	4996
NR_154743.1	114766
NR_145267.1	240224
NR_156191.1	157885
NR_119386.1	42374
NR_200278.1	1073534
NR_155770.1	5003
NR_077091.1	33191
NR_077090.1	5002
NR_077089.1	33190
NR_155707.1	5004
NR_149325.1	5005
NR_136959.1	86828
NR_111112.1	2482752
NR_126107.1	169489
NR_111070.1	5212
NR_073211.1	89928
NR_111045.1	89929
NR_155873.1	105811
NR_154599.1	57688
NR_073212.1	40409
NR_111071.1	5647
NR_073214.1	415706
NR_073215.1	1198485
NR_111372.1	104669
NR_111375.1	5619
NR_119453.1	89934
NR_073217.1	5610
NR_073218.1	5416
NR_073219.1	104415
NR_073220.1	104408
NR_073222.1	104411
NR_073223.1	104404
NR_077106.1	104410
NR_111051.1	89919
NR_073221.1	104414
NR_073228.1	104405
NR_073229.1	5211
NR_077105.1	104416
NR_111072.1	192656
NR_073230.1	1105093
NR_073231.1	4981
NR_073232.1	89913
NR_073233.1	42661
NR_073234.1	76002
NR_073235.1	4976
NR_073237.1	4978
NR_073238.1	5611
NR_165938.1	4979
NR_073241.1	82511
NR_073242.1	82510
NR_073245.1	82521
NR_073246.1	82522
NR_073247.1	1105092
NR_077104.1	4999
NR_077103.1	5000
NR_073248.1	82515
NR_119454.1	29896
NR_073249.1	82509
NR_073250.1	42660
NR_073251.1	82513
NR_073252.1	82518
NR_073253.1	82519
NR_073254.1	82524
NR_073256.1	57474
NR_077066.1	192248
NR_073240.1	1895941
NR_111074.1	1255125
NR_073239.1	82514
NR_073255.1	82516
NR_073258.1	104677
NR_073259.1	104679
NR_073227.1	4972
NR_111075.1	4983
NR_073260.1	1895944
NR_073261.1	82526
NR_073262.1	62610
NR_077102.1	62611
NR_073264.1	76003
NR_077101.1	76004
NR_077100.1	192250
NR_077099.1	63114
NR_077098.1	63115
NR_137140.1	63116
NR_165939.1	1415903
NR_111076.1	57471
NR_111104.1	1348614
NR_111105.1	1348614
NR_111106.1	1348614
NR_111107.1	1348614
NR_111108.1	1348614
NR_130659.1	78596
NR_155105.1	166392
NR_111109.1	166401
NR_134336.1	63581
NR_134337.1	63589
NR_154663.1	84751
NR_167941.1	5483
NR_111086.1	194552
NR_130660.1	29833
NR_138189.1	56407
NR_138190.1	56411
NR_138191.1	56408
NR_138192.1	56406
NR_111113.1	53685
NR_137535.1	211096
NR_137655.1	211097
NR_137656.1	211098
NR_137657.1	211099
NR_119452.1	259994
NR_148063.1	203866
NR_138171.1	432100
NR_111111.1	113413
NR_154601.1	184411
NR_154600.1	184409
NR_145331.1	180433
NR_154665.1	78597
NR_077135.1	180775
NR_111114.1	139146
NR_136966.1	242614
NR_137542.1	351595
NR_136967.1	239931
NR_136968.1	351603
NR_137543.1	351592
NR_145273.1	1928362
NR_154666.1	157615
NR_077160.1	69775
NR_119578.1	305400
NR_119485.1	224451
NR_171209.1	259995
NR_155614.1	936077
NR_149332.1	261921
NR_189750.1	3054763
NR_073225.1	104403
NR_136970.1	267219
NR_136971.1	267220
NR_119500.1	266073
NR_077087.1	271218
NR_154284.1	175657
NR_153199.1	167369
NR_145350.1	167370
NR_155773.1	217517
NR_137666.1	217515
NR_138366.1	1849065
NR_119506.1	1580854
NR_119507.1	1580862
NR_111179.1	290616
NR_111180.1	290617
NR_111181.1	295515
NR_119524.1	301353
NR_169888.1	2717397
NR_158288.1	307743
NR_131995.1	307749
NR_131996.1	307750
NR_158995.1	307764
NR_157413.1	308545
NR_144957.1	307303
NR_153869.1	306696
NR_156201.1	307346
NR_144958.1	307352
NR_164010.1	307364
NR_144959.1	307370
NR_164011.1	1508192
NR_144960.1	1508185
NR_145026.1	303666
NR_163512.1	307937
NR_173441.1	1576542
NR_156198.1	2082119
