NG_055402.1	43958
NG_055064.1	33173
NG_055065.1	45286
NG_055403.1	43962
NG_246085.1	44076
NG_066466.1	44078
NG_244105.1	43976
NG_244106.1	44065
NG_059884.1	51912
NG_060442.1	5127
NG_055405.1	46582
NG_055404.1	45354
NG_055408.1	36911
NG_055230.1	5491
NG_066467.1	46252
NG_055406.1	46584
NG_055409.1	36912
NG_055407.1	46585
NG_054836.1	46583
NG_244115.1	27321
NG_055410.1	27327
NG_244107.1	27328
NG_075433.1	29830
NG_054853.1	45522
NG_054857.1	45521
NG_054858.1	45518
NG_055233.1	45528
NG_075434.1	45526
NG_054851.1	45525
NG_054852.1	45529
NG_054854.1	45541
NG_055412.1	45539
NG_054844.1	45542
NG_075436.1	45572
NG_244108.1	45550
NG_054837.1	45548
NG_054845.1	45549
NG_054838.1	45558
NG_075435.1	45556
NG_055232.1	45559
NG_054855.1	45560
NG_054839.1	45561
NG_244114.1	45565
NG_054842.1	5479
NG_055225.1	45571
NG_054846.1	45574
NG_054840.1	2879429
NG_244112.1	45579
NG_055706.1	45589
NG_244111.1	45582
NG_054856.1	45587
NG_055411.1	45599
NG_054841.1	27298
NG_054860.1	28555
NG_244110.1	45517
NG_244109.1	27324
NG_075437.1	27326
NG_054848.1	28986
NG_054850.1	45501
NG_054849.1	45504
NG_054843.1	45506
NG_054847.1	1041613
NG_055413.1	46168
NG_054869.1	42374
NG_055231.1	39397
NG_055237.1	49325
NG_075191.1	49327
NG_055414.1	49332
NG_054868.1	45606
NG_055235.1	45557
NG_055236.1	45566
NG_055226.1	2763128
NG_054864.1	27295
NG_054863.1	45516
NG_054861.1	27301
NG_054867.1	27302
NG_054865.1	45615
NG_054866.1	45614
NG_054862.1	27306
NG_060196.1	1348614
NG_057641.1	75734
NG_057642.1	75730
NG_055172.1	27304
NG_057703.1	84742
NG_058538.1	84751
NG_057705.1	58916
NG_057707.1	58915
NG_057704.1	58919
NG_057706.1	58917
NG_060784.1	85573
NG_055066.1	4934
NG_055069.1	33165
NG_055071.1	51660
NG_055067.1	51656
NG_055068.1	51658
